species,sample_size,position,coord,density
rat,100000,2.85,0.0009592731012947683,64.5480796908098
rat,100000,2.85,0.0009702472636478873,55.88064020968922
rat,100000,2.85,0.0009812214260010062,47.470212460325456
rat,100000,2.85,0.0009921955883541252,39.509795952710334
rat,100000,2.85,0.0010031697507072441,32.36866956980771
rat,100000,2.85,0.001014143913060363,26.3809239367412
rat,100000,2.85,0.0010251180754134819,21.664855338436357
rat,100000,2.85,0.0010360922377666009,18.07139419320808
rat,100000,2.85,0.0010470664001197198,15.281839771751983
rat,100000,2.85,0.0010580405624728386,12.990882951782423
rat,100000,2.85,0.0010690147248259576,11.072395776975403
rat,100000,2.85,0.0010799888871790766,9.648190240125679
rat,100000,2.85,0.0010909630495321955,9.037464500700615
rat,100000,2.85,0.0011019372118853143,9.616088604735019
rat,100000,2.85,0.0011129113742384333,11.638260850998936
rat,100000,2.85,0.0011238855365915523,15.075164218465794
rat,100000,2.85,0.001134859698944671,19.522722860162464
rat,100000,2.85,0.00114583386129779,24.225234109481438
rat,100000,2.85,0.001156808023650909,28.237699495854766
rat,100000,2.85,0.0011677821860040277,30.696571271697024
rat,100000,2.85,0.0011787563483571467,31.104902069451366
rat,100000,2.85,0.0011897305107102657,29.506721185503014
rat,100000,2.85,0.0012007046730633847,26.460624567806374
rat,100000,2.85,0.0012116788354165034,22.81503356582813
rat,100000,2.85,0.0012226529977696224,19.385710850604692
rat,100000,2.85,0.0012336271601227414,16.681349932937497
rat,100000,2.85,0.0012446013224758602,14.790704668733012
rat,100000,2.85,0.0012555754848289791,13.457785409433225
rat,100000,2.85,0.0012665496471820981,12.28151070238547
human,100,0.15,0.01785744555119909,4.234468982556008
human,100,0.15,0.01889531741565027,5.940241346209453
human,100,0.15,0.01993318928010145,8.020037038510631
human,100,0.15,0.020971061144552633,10.428998824917757
human,100,0.15,0.022008933009003813,13.076328006968696
human,100,0.15,0.023046804873454993,15.837497189381356
human,100,0.15,0.024084676737906173,18.577588473619613
human,100,0.15,0.025122548602357353,21.177538395129943
human,100,0.15,0.026160420466808533,23.55264954350234
human,100,0.15,0.027198292331259713,25.656126017115454
human,100,0.15,0.028236164195710897,27.468167797128903
human,100,0.15,0.029274036060162077,28.978792646817435
human,100,0.15,0.030311907924613257,30.175291898688755
human,100,0.15,0.03134977978906444,31.04137331110614
human,100,0.15,0.03238765165351562,31.567239604828313
human,100,0.15,0.0334255235179668,31.763195377432552
human,100,0.15,0.03446339538241798,31.667731986003464
human,100,0.15,0.03550126724686916,31.344532480268956
human,100,0.15,0.03653913911132034,30.86853791299552
human,100,0.15,0.03757701097577153,30.3059665197202
human,100,0.15,0.0386148828402227,29.69557555300823
human,100,0.15,0.03965275470467389,29.038448843314477
human,100,0.15,0.04069062656912506,28.301161310882918
human,100,0.15,0.04172849843357625,27.432347697142653
human,100,0.15,0.04276637029802742,26.386852827485182
human,100,0.15,0.04380424216247861,25.14775154220276
human,100,0.15,0.04484211402692979,23.737265533486124
human,100,0.15,0.04587998589138097,22.212867545850532
human,100,0.15,0.04691785775583215,20.651543425110862
human,100,0.15,0.04795572962028333,19.129581275471324
human,100,0.15,0.048993601484734514,17.70572653341931
human,100,0.15,0.05003147334918569,16.412928320968696
human,100,0.15,0.051069345213636874,15.259988191739914
human,100,0.15,0.05210721707808805,14.240539196082771
human,100,0.15,0.053145088942539234,13.343912358545872
human,100,0.15,0.05418296080699041,12.561830510122888
human,100,0.15,0.055220832671441594,11.887484181518337
human,100,0.15,0.05625870453589277,11.308594443664074
human,100,0.15,0.057296576400343954,10.800501123993156
human,100,0.15,0.05833444826479514,10.325743656749863
human,100,0.15,0.059372320129246314,9.842285055574669
human,100,0.15,0.0604101919936975,9.316457713386852
human,100,0.15,0.061448063858148674,8.733386888536387
human,100,0.15,0.06248593572259986,8.099412944204918
