species,distribution,pdf_x,pdf_val
human,genextreme,16.936523046092187,3.7705998668910504e-06
human,genextreme,16.976503006012024,3.7362551360633835e-06
human,genextreme,17.016482965931864,3.7023021545418005e-06
human,genextreme,17.056462925851704,3.66873555789329e-06
human,genextreme,17.096442885771545,3.635550067355247e-06
human,genextreme,17.136422845691385,3.6027404882730976e-06
human,genextreme,17.176402805611225,3.5703017085701355e-06
human,genextreme,17.216382765531062,3.5382286972484323e-06
human,genextreme,17.256362725450902,3.5065165029204654e-06
human,genextreme,17.296342685370742,3.4751602523706104e-06
human,genextreme,17.336322645290583,3.444155149145783e-06
human,genextreme,17.376302605210423,3.4134964721746738e-06
human,genextreme,17.416282565130263,3.3831795744149e-06
human,genextreme,17.4562625250501,3.3531998815274383e-06
human,genextreme,17.49624248496994,3.3235528905776763e-06
human,genextreme,17.53622244488978,3.294234168762671e-06
human,genextreme,17.57620240480962,3.2652393521636986e-06
human,genextreme,17.61618236472946,3.2365641445239738e-06
human,genextreme,17.6561623246493,3.2082043160505624e-06
human,genextreme,17.696142284569138,3.1801557022402055e-06
